AIRLINE NAME;CARRIER TYPE;PASSENGERS TO INDIA;PASSENGERS FROM INDIA;FREIGHT TO INDIA;FREIGHT FROM INDIA;DAY
JET AIRWAYS;DOMESTIC;286697;278631;381186321;570158667;17/08/2011
SPICEJET;DOMESTIC;40334;47544;742935;41078056;25/03/2014
AEROFLOT;FOREIGN;6975;5879;2993;144849;26/04/2013
AEROLOGIC;FOREIGN;0;0;1915;1527;16/09/2012
AIR ARABIA;FOREIGN;72642;75434;75297;1072245;27/09/2010
AIR ASIA BERHAD;FOREIGN;21206;20220;17096;369351;03/01/2015
AIR ASTANA;FOREIGN;1997;2394;1697;47623;21/04/2014
AIR AUSTRAL;FOREIGN;281;310;6795;271;02/08/2013
AIR CANADA;FOREIGN;0;0;0;0;17/08/2015
AIR CHINA;FOREIGN;4266;3825;176774;153808;30/08/2012
AIR FRANCE;FOREIGN;18203;17407;706127;11137;06/02/2015
AIR MANAS;FOREIGN;733;929;6256;13627;30/07/2017
AIR MAURITIUS;FOREIGN;5143;5205;18211;230364;17/06/2013
AIR SEYCHELLES;FOREIGN;1721;1554;75;2374;22/07/2014
ALL NIPPON AIRWAYS;FOREIGN;5725;5155;292243;361627;28/01/2013
ARIANA AFGHAN;FOREIGN;969;805;0;45718;05/06/2014
ASIANA AIRLINES;FOREIGN;3299;2412;72951;809888;12/05/2012
AUSTRIAN AIRLINES;FOREIGN;5442;3675;138381;221818;10/11/2014
BANGKOK AIRWAYS;FOREIGN;3304;3201;66063;2301;07/10/2010
BHUTAN AIRLINES;FOREIGN;2513;2379;0;0;30/11/2011
BIMAN BANGLADESH;FOREIGN;2783;3573;15;166;01/06/2010
BRITISH AIRWAYS;FOREIGN;44661;39557;1807;2862;04/04/2012
BUDHHA AIR;FOREIGN;0;0;0;0;24/03/2010
CATHAY PACIFIC;FOREIGN;32008;30899;7813669;4578299;26/05/2016
CHINA AIRLINES LTD;FOREIGN;1239;4637;8002;84676;13/12/2017
CHINA EASTERN AIRLINES;FOREIGN;7704;7807;254426;110165;23/09/2011
CHINA SOUTHERN ;FOREIGN;7035;6916;145369;36654;13/01/2016
DRAGON AIR;FOREIGN;10954;11005;6593;18935;12/12/2010
DRUK AIR;FOREIGN;4509;4424;483;10646;03/09/2011
EGYPT AIR;FOREIGN;877;1004;6022;7496;13/07/2011
EL-AL-ISRAEL;FOREIGN;1944;2623;56052;102993;24/05/2011
EMIRATES AIRLINE;FOREIGN;207586;207200;4858873;12677853;20/03/2017
ETHIOPIAN AIRLINES;FOREIGN;3979;3261;39183;223906;24/01/2010
ETIHAD AIRLINES;FOREIGN;96928;106207;1729377;2567091;28/08/2012
EVA AIRWAYS;FOREIGN;0;0;0;0;18/11/2015
FEDERAL EXPRESS;FOREIGN;0;0;3277826;2003523;14/11/2010
FINN AIR;FOREIGN;3397;2472;132751;204163;23/03/2013
FLY DUBAI;FOREIGN;17024;19890;27037;241019;20/12/2012
GULF AIR;FOREIGN;32979;30865;52987;692969;13/07/2015
IRAN AIR;FOREIGN;1217;1593;7467;47109;23/09/2010
IRAQI AIRWAYS;FOREIGN;0;377;0;1271;04/10/2013
ISLAND AVIATION SERVICES;FOREIGN;3240;4172;6288;45196;28/10/2012
JAPAN AIRLINES;FOREIGN;4273;3887;371724;17982;03/06/2014
KALITTA AIR;FOREIGN;0;0;884524;882351;09/02/2018
KAM AIR;FOREIGN;0;0;0;57854;17/04/2013
KENYA AIRWAYS;FOREIGN;6211;7588;229827;5195;02/08/2013
KLM AIRLINES;FOREIGN;8151;7735;220122;394063;07/03/2011
KOREAN AIR;FOREIGN;1922;1773;696;84574;18/07/2010
KUWAIT AIRWAYS;FOREIGN;19766;22739;109446;1032079;12/12/2011
LUFTHANSA;FOREIGN;51472;39036;3566959;6414172;09/09/2016
MAHAN AIR;FOREIGN;1164;1322;21111;45613;18/11/2011
MALAYSIA AIRLINES;FOREIGN;31238;31524;902967;990039;24/02/2018
MALINDO AIRWAYS;FOREIGN;24392;22043;1322;116174;08/04/2011
MIHIN LANKA;FOREIGN;7761;8206;548;0;12/02/2015
MYANMAR AIRLINES;FOREIGN;678;307;0;0;02/07/2014
NEPAL AIRLINES CORPORATION;FOREIGN;4824;3490;0;0;24/03/2013
OMAN AIR;FOREIGN;57339;54541;10541;772469;04/01/2011
PAK INTERNATIONAL;FOREIGN;780;1313;4473;35062;02/11/2013
QATAR AIRWAYS;FOREIGN;165220;147648;7828994;13840644;11/08/2014
REGENT AIRWAYS;FOREIGN;5414;6582;0;0;10/05/2013
SAFI AIRWAYS;FOREIGN;1814;1601;4422;31027;09/01/2013
SAUDIA;FOREIGN;57708;52327;267359;3581236;13/06/2012
SCAT AIRLINES;FOREIGN;235;29;0;0;07/11/2010
SHANDONG AIRLINES;FOREIGN;0;0;0;0;26/02/2014
SILK AIR;FOREIGN;16160;17085;82731;230182;13/10/2013
SINGAPORE AIRLINES;FOREIGN;46178;42849;3450053;2855146;23/11/2014
SRILNKAN AIRWAYS;FOREIGN;51229;54363;682034;1321226;22/06/2014
SWISS AIR;FOREIGN;10286;12233;770351;822161;23/01/2010
TAJIK AIR;FOREIGN;206;122;0;1824;24/07/2012
THAI AIR ASIA;FOREIGN;3069;3065;25465;33564;24/06/2015
THAI AIRWAYS;FOREIGN;53290;54933;2228867;1574504;07/10/2010
THOMAS COOK AIRLINES U.K.;FOREIGN;0;0;0;0;08/12/2011
TIGER AIRWAYS;FOREIGN;24221;26755;99328;320126;24/07/2013
TRANSAERO AIRLINES;FOREIGN;2365;1928;433;11023;25/04/2016
TURKISH AIRLINES;FOREIGN;18189;15430;750472;597766;20/02/2016
TURKMENISTAN AIRLINES;FOREIGN;4717;2520;62;32031;18/10/2013
UNITED AIRLINES;FOREIGN;10110;10457;28865;278174;01/01/2018
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;195;936;0;0;19/04/2014
UNITED PARCEL SERVICES;FOREIGN;0;0;472448;426806;12/03/2017
UZBEKISTAN AIRWAYS;FOREIGN;4687;3948;4972;600461;03/01/2012
VIRGIN ATLANTIC AIRLINES;FOREIGN;7621;5356;241205;440651;12/09/2012
YEMENIA AIRWAYS;FOREIGN;0;0;0;0;07/04/2011
AIR INDIA;DOMESTIC;252590;211498;3682072;4788159;19/10/2013
AIR INDIA EXPRESS;DOMESTIC;96538;105481;27284;349865;30/08/2010
INDIGO;DOMESTIC;65699;64719;735285;82518513;09/07/2014
JET AIRWAYS;DOMESTIC;304785;277164;387625995;540636025;08/05/2013
SPICEJET;DOMESTIC;49809;51563;5864;309958;16/02/2013
AEROFLOT;FOREIGN;6271;5887;8895;137572;26/09/2013
AEROLOGIC;FOREIGN;0;0;1641;1418;15/10/2014
AIR ARABIA;FOREIGN;74255;74462;78077;1035029;05/02/2016
AIR ASIA BERHAD;FOREIGN;10840;8464;8031;82046;25/09/2011
AIR ASTANA;FOREIGN;2213;2267;632;23035;24/06/2017
AIR AUSTRAL;FOREIGN;253;230;3561;1597;08/10/2010
AIR CANADA;FOREIGN;4798;3674;595;175;17/11/2010
AIR CHINA;FOREIGN;4799;3605;138898;191654;31/12/2010
AIR FRANCE;FOREIGN;19449;20634;761581;1261605;06/09/2016
AIR MANAS;FOREIGN;765;533;7147;1725;02/07/2017
AIR MAURITIUS;FOREIGN;7334;7191;18425;175905;12/04/2010
AIR SEYCHELLES;FOREIGN;1949;1703;13;2784;21/01/2013
ALL NIPPON AIRWAYS;FOREIGN;5873;5453;202509;28665;28/10/2013
ARIANA AFGHAN;FOREIGN;1096;1071;96449;95017;10/10/2010
ASIANA AIRLINES;FOREIGN;3535;2950;42586;4856;18/11/2011
AUSTRIAN AIRLINES;FOREIGN;4991;4046;132703;192786;12/03/2017
BANGKOK AIRWAYS;FOREIGN;4342;4168;55697;0;24/06/2014
BHUTAN AIRLINES;FOREIGN;2834;2348;0;0;04/02/2014
BIMAN BANGLADESH;FOREIGN;6588;6698;4071;4379;28/05/2010
BRITISH AIRWAYS;FOREIGN;50277;42085;1334;2613;07/06/2016
BUDHHA AIR;FOREIGN;0;0;0;0;16/07/2014
CATHAY PACIFIC;FOREIGN;35969;31629;6377076;3834876;07/12/2011
CHINA AIRLINES LTD;FOREIGN;2330;1376;79865;85028;31/01/2010
CHINA EASTERN AIRLINES;FOREIGN;9724;7970;251364;127232;13/11/2016
CHINA SOUTHERN ;FOREIGN;10520;9065;362363;57977;01/12/2011
DRAGON AIR;FOREIGN;11604;8796;35364;2182;31/05/2016
DRUK AIR;FOREIGN;2705;1957;1;1123;27/11/2011
EGYPT AIR;FOREIGN;1127;1109;1643;4333;24/06/2013
EL-AL-ISRAEL;FOREIGN;2672;2273;5847;108906;26/12/2013
EMIRATES AIRLINE;FOREIGN;231850;209430;4794666;12082461;03/11/2010
ETHIOPIAN AIRLINES;FOREIGN;3367;3452;1198;19068;19/07/2012
ETIHAD AIRLINES;FOREIGN;94335;103732;1517692;2630672;24/09/2017
EVA AIRWAYS;FOREIGN;0;0;0;0;19/10/2016
FEDERAL EXPRESS;FOREIGN;0;0;111559;18549;23/08/2010
FINN AIR;FOREIGN;4703;4052;131866;244174;25/12/2010
FLY DUBAI;FOREIGN;19624;19968;2068;230129;18/08/2012
GULF AIR;FOREIGN;35938;30794;69124;583568;21/02/2018
IRAN AIR;FOREIGN;1541;1813;1263;22103;30/10/2012
IRAQI AIRWAYS;FOREIGN;0;0;0;0;13/08/2011
ISLAND AVIATION SERVICES;FOREIGN;5980;4757;652;84703;08/03/2017
JAPAN AIRLINES;FOREIGN;4098;3886;357408;118641;20/10/2015
KALITTA AIR;FOREIGN;0;0;1164153;640862;23/06/2010
KAM AIR;FOREIGN;0;0;0;478;26/05/2012
KENYA AIRWAYS;FOREIGN;7946;7038;13299;276319;18/09/2015
KLM AIRLINES;FOREIGN;11878;10774;182297;323509;20/12/2010
KOREAN AIR;FOREIGN;2097;1559;45192;69153;24/05/2011
KUWAIT AIRWAYS;FOREIGN;23555;22392;48726;715298;24/01/2012
LUFTHANSA;FOREIGN;41043;32512;3036573;2849347;25/08/2013
MAHAN AIR;FOREIGN;1443;1230;16035;624;03/01/2010
MALAYSIA AIRLINES;FOREIGN;35292;31524;65934;601446;24/03/2012
MALINDO AIRWAYS;FOREIGN;28265;22297;1216;60414;11/06/2015
MIHIN LANKA;FOREIGN;9599;10733;2494;96;09/10/2016
MYANMAR AIRLINES;FOREIGN;1075;951;0;0;06/09/2013
NEPAL AIRLINES CORPORATION;FOREIGN;3843;4099;0;40906;25/12/2015
OMAN AIR;FOREIGN;57675;54464;222421;589235;12/05/2013
PAK INTERNATIONAL;FOREIGN;1134;1698;2965;28789;12/05/2011
QATAR AIRWAYS;FOREIGN;87388;80809;322782;5346285;18/02/2014
REGENT AIRWAYS;FOREIGN;5329;5560;0;0;19/02/2011
SAFI AIRWAYS;FOREIGN;2096;1846;3473;25908;12/12/2013
SAUDIA;FOREIGN;51490;54852;154325;2515017;04/07/2013
SCAT AIRLINES;FOREIGN;657;625;0;0;02/05/2015
SHANDONG AIRLINES;FOREIGN;677;421;0;0;23/08/2012
SILK AIR;FOREIGN;22177;18212;104936;218309;24/03/2017
SINGAPORE AIRLINES;FOREIGN;58395;52010;3310356;2544501;14/05/2012
SRILNKAN AIRWAYS;FOREIGN;51914;51311;583445;1039408;23/06/2016
SWISS AIR;FOREIGN;13250;11428;736893;878473;17/01/2016
TAJIK AIR;FOREIGN;187;108;0;2287;16/12/2011
THAI AIR ASIA;FOREIGN;3164;2929;48772;30234;29/04/2015
THAI AIRWAYS;FOREIGN;58541;59160;2200041;1298338;09/03/2010
THOMAS COOK AIRLINES U.K.;FOREIGN;4863;2502;0;70745;31/01/2017
TIGER AIRWAYS;FOREIGN;29569;25287;108953;250094;21/11/2012
TRANSAERO AIRLINES;FOREIGN;0;0;0;0;25/03/2013
TURKISH AIRLINES;FOREIGN;0;0;0;0;05/11/2017
TURKMENISTAN AIRLINES;FOREIGN;3127;3622;0;7119;01/07/2011
UNITED AIRLINES;FOREIGN;7498;6344;142884;75526;27/03/2013
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;257;282;0;0;08/06/2013
UNITED PARCEL SERVICES;FOREIGN;0;0;507657;402064;18/03/2011
UZBEKISTAN AIRWAYS;FOREIGN;3987;3975;370878;532798;13/07/2016
VIRGIN ATLANTIC AIRLINES;FOREIGN;7512;6515;234684;364548;18/01/2013
YEMENIA AIRWAYS;FOREIGN;44;174;0;76;27/01/2015
AIR INDIA;DOMESTIC;286210;246833;3822172;5106679;19/03/2013
AIR INDIA EXPRESS;DOMESTIC;112451;113134;13057;367588;24/08/2012
INDIGO;DOMESTIC;72057;69963;208701;438221;21/03/2015
JET AIRWAYS;DOMESTIC;331061;302552;413907068;559370361;02/11/2011
SPICEJET;DOMESTIC;60855;60980;701112;39540054;26/05/2016
AEROFLOT;FOREIGN;6958;5285;16069;156492;04/07/2012
AEROLOGIC;FOREIGN;0;0;1975;1575;20/03/2015
AIR ARABIA;FOREIGN;79183;78570;86296;1075237;26/04/2015
AIR ASIA BERHAD;FOREIGN;35788;32463;34777;246111;17/07/2012
AIR ASTANA;FOREIGN;2748;2041;2219;48006;13/03/2015
AIR AUSTRAL;FOREIGN;224;222;5255;1383;08/01/2017
AIR CANADA;FOREIGN;4734;4403;566;186;27/06/2011
AIR CHINA;FOREIGN;4931;4805;113545;197059;03/09/2016
AIR FRANCE;FOREIGN;22006;20763;868637;1200114;14/10/2014
AIR MANAS;FOREIGN;840;541;1619;2669;07/11/2012
AIR MAURITIUS;FOREIGN;9808;9630;13341;194681;31/03/2014
AIR SEYCHELLES;FOREIGN;2233;1908;25;2836;11/12/2011
ALL NIPPON AIRWAYS;FOREIGN;640;875;0;0;18/11/2013
ARIANA AFGHAN;FOREIGN;2222;1514;59148;117031;15/06/2011
ASIANA AIRLINES;FOREIGN;3105;3401;28737;7501;11/04/2016
AUSTRIAN AIRLINES;FOREIGN;4985;3900;160452;209839;11/09/2016
BANGKOK AIRWAYS;FOREIGN;4880;4829;0;44834;26/03/2012
BHUTAN AIRLINES;FOREIGN;1775;1911;0;0;05/01/2011
BIMAN BANGLADESH;FOREIGN;7061;7082;5536;5714;07/06/2014
BRITISH AIRWAYS;FOREIGN;0;0;0;0;12/04/2017
BUDHHA AIR;FOREIGN;0;0;0;0;19/07/2014
CATHAY PACIFIC;FOREIGN;26897;33898;6950661;378122;13/01/2015
CHINA AIRLINES LTD;FOREIGN;2530;5276;89332;91348;24/01/2011
CHINA EASTERN AIRLINES;FOREIGN;8751;8798;222882;137144;07/07/2013
CHINA SOUTHERN ;FOREIGN;8995;10318;306387;58959;02/10/2011
DRAGON AIR;FOREIGN;12117;11735;143039;319701;12/09/2013
DRUK AIR;FOREIGN;4448;4089;544;5211;15/08/2015
EGYPT AIR;FOREIGN;1781;1814;1962;6906;18/09/2014
EL-AL-ISRAEL;FOREIGN;3677;3040;81508;99752;01/10/2011
EMIRATES AIRLINE;FOREIGN;257810;231898;5025383;1250127;05/03/2012
ETHIOPIAN AIRLINES;FOREIGN;4210;3443;177881;91145;20/11/2010
ETIHAD AIRLINES;FOREIGN;118430;118153;1421271;48640298;17/08/2011
EVA AIRWAYS;FOREIGN;0;0;0;0;25/12/2010
FEDERAL EXPRESS;FOREIGN;0;0;1215606;1949339;08/02/2010
FINN AIR;FOREIGN;5001;3701;115197;215047;28/05/2016
FLY DUBAI;FOREIGN;20677;20612;26687;227621;19/09/2010
GULF AIR;FOREIGN;39154;34384;65531;553951;12/10/2010
IRAN AIR;FOREIGN;2137;1418;2632;43194;20/09/2013
IRAQI AIRWAYS;FOREIGN;0;0;0;0;07/08/2015
ISLAND AVIATION SERVICES;FOREIGN;4929;4457;2882;74838;19/08/2014
JAPAN AIRLINES;FOREIGN;3990;4695;448751;109084;01/08/2012
KALITTA AIR;FOREIGN;0;0;1296619;1074821;15/07/2015
KAM AIR;FOREIGN;3709;3233;0;49449;27/06/2013
KENYA AIRWAYS;FOREIGN;9657;9977;7911;230449;02/04/2013
KLM AIRLINES;FOREIGN;12113;11688;187157;333082;10/07/2015
KOREAN AIR;FOREIGN;2834;2371;79719;65515;18/12/2015
KUWAIT AIRWAYS;FOREIGN;26252;25603;16357;111901;04/07/2015
LUFTHANSA;FOREIGN;40289;32548;293456;2516676;05/02/2018
MAHAN AIR;FOREIGN;1663;1808;2756;54283;20/10/2012
MALAYSIA AIRLINES;FOREIGN;34098;31735;948546;914003;28/07/2015
MALINDO AIRWAYS;FOREIGN;32277;29254;4076;99259;28/05/2015
MIHIN LANKA;FOREIGN;8662;9507;78;2496;10/03/2012
MYANMAR AIRLINES;FOREIGN;1444;1457;0;0;08/05/2012
NEPAL AIRLINES CORPORATION;FOREIGN;2009;3459;0;60714;13/08/2016
OMAN AIR;FOREIGN;76293;76418;223483;710639;16/02/2014
PAK INTERNATIONAL;FOREIGN;1564;2663;5848;27525;12/04/2010
QATAR AIRWAYS;FOREIGN;94049;85323;3177059;5876818;20/06/2011
REGENT AIRWAYS;FOREIGN;6469;6294;0;0;16/12/2017
SAFI AIRWAYS;FOREIGN;2414;1703;1022;4437;20/10/2016
SAUDIA;FOREIGN;69233;73771;212295;1965886;10/08/2012
SCAT AIRLINES;FOREIGN;598;573;0;0;12/04/2015
SHANDONG AIRLINES;FOREIGN;892;991;0;0;19/12/2013
SILK AIR;FOREIGN;26708;22430;10692;221013;03/03/2013
SINGAPORE AIRLINES;FOREIGN;55890;49547;4669028;4538862;29/09/2017
SRILNKAN AIRWAYS;FOREIGN;53655;54037;874161;1038053;23/02/2013
SWISS AIR;FOREIGN;13123;11267;800607;943973;03/12/2016
TAJIK AIR;FOREIGN;165;154;0;3198;20/06/2013
THAI AIR ASIA;FOREIGN;38333;11854;27217;1509;27/04/2011
THAI AIRWAYS;FOREIGN;58107;66009;2393045;1422396;26/08/2017
THOMAS COOK AIRLINES U.K.;FOREIGN;5112;7390;1178;39646;01/03/2014
TIGER AIRWAYS;FOREIGN;30843;28471;112929;233013;30/07/2015
TRANSAERO AIRLINES;FOREIGN;0;0;0;0;13/01/2018
TURKISH AIRLINES;FOREIGN;18678;16207;811405;684657;29/03/2014
TURKMENISTAN AIRLINES;FOREIGN;4303;3026;0;15583;27/07/2017
UNITED AIRLINES;FOREIGN;14975;14586;261232;231285;19/01/2011
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;1570;2174;0;0;21/09/2010
UNITED PARCEL SERVICES;FOREIGN;0;0;552963;398866;09/05/2013
UZBEKISTAN AIRWAYS;FOREIGN;4615;3766;260562;37062;12/07/2016
VIRGIN ATLANTIC AIRLINES;FOREIGN;6986;6168;276783;376798;28/10/2014
YEMENIA AIRWAYS;FOREIGN;0;200;0;2213;04/10/2015
AIR INDIA;DOMESTIC;261873;279107;35099;46438;21/06/2014
AIR INDIA EXPRESS;DOMESTIC;105132;124371;130;3483;31/07/2016
INDIGO;DOMESTIC;64903;74827;273;7406;24/11/2010
JET AIRWAYS;DOMESTIC;308204;329373;36769;51751;08/05/2014
SPICEJET;DOMESTIC;59633;63133;761;4026;09/12/2011
AEROFLOT;FOREIGN;4896;6892;93;1521;19/09/2010
AEROLOGIC;FOREIGN;0;0;31;38;05/07/2014
AIR ARABIA;FOREIGN;80828;83524;898;10690;12/04/2014
AIR ASIA X;FOREIGN;0;0;0;0;04/09/2015
AIR ASIA BERHAD;FOREIGN;33005;35110;273;2694;14/02/2010
AIR ASTANA;FOREIGN;2497;3012;7;162;10/07/2012
AIR AUSTRAL;FOREIGN;387;346;38;14;04/02/2010
AIR CANADA;FOREIGN;4221;4782;5660;1920;16/11/2010
AIR CHINA;FOREIGN;4915;4744;924;1022;05/02/2011
AIR FRANCE;FOREIGN;20766;23078;8262;12019;27/03/2012
AIR MANAS;FOREIGN;721;727;0;139;13/02/2012
AIR MAURITIUS;FOREIGN;7036;8580;170;1816;13/06/2017
AIR SEYCHELLES;FOREIGN;2012;2199;3;17;17/10/2016
ALL NIPPON AIRWAYS;FOREIGN;5380;6056;1106;4229;12/01/2017
ARIANA AFGHAN;FOREIGN;2645;2225;226;1221;01/08/2012
ASIANA AIRLINES;FOREIGN;3136;3161;229;915;19/08/2011
AUSTRIAN AIRLINES;FOREIGN;4420;4947;1367;2217;27/01/2010
BANGKOK AIRWAYS;FOREIGN;4477;4538;7;606;30/01/2013
BHUTAN AIRLINES;FOREIGN;1527;1331;0;0;19/01/2014
BIMAN BANGLADESH;FOREIGN;6582;5580;0;0;31/10/2011
BRITISH AIRWAYS;FOREIGN;42283;53556;13650;25790;16/10/2012
BUDHHA AIR;FOREIGN;0;0;0;0;09/08/2010
CATHAY PACIFIC;FOREIGN;32401;35953;59653;34965;20/07/2014
CHINA AIRLINES LTD;FOREIGN;2051;4818;984;1515;16/12/2012
CHINA EASTERN AIRLINES;FOREIGN;9594;9164;2903;1585;14/03/2013
CHINA SOUTHERN ;FOREIGN;9111;8492;2950;350;13/07/2015
DRAGON AIR;FOREIGN;3295;3611;27;141;31/05/2013
DRUK AIR;FOREIGN;3590;2800;3;52;24/09/2012
EGYPT AIR;FOREIGN;1194;1646;3;69;02/03/2012
EL-AL-ISRAEL;FOREIGN;3226;3459;756;1217;11/11/2010
EMIRATES AIRLINE;FOREIGN;237552;262165;48239;119828;22/03/2015
ETHIOPIAN AIRLINES;FOREIGN;3101;4025;9;193;02/01/2011
ETIHAD AIRLINES;FOREIGN;157715;114634;8201;15698;29/03/2015
EVA AIRWAYS;FOREIGN;0;0;0;0;27/02/2017
FEDERAL EXPRESS;FOREIGN;0;0;11249;18983;19/04/2012
FINN AIR;FOREIGN;4352;5404;1877;3325;21/03/2016
FLY DUBAI;FOREIGN;21125;21959;227;2580;30/01/2012
GULF AIR;FOREIGN;38809;39779;448;5580;13/10/2012
IRAN AIR;FOREIGN;1576;1471;17;317;25/03/2017
IRAQI AIRWAYS;FOREIGN;0;60;0;0;24/01/2018
ISLAND AVIATION SERVICES;FOREIGN;4269;6790;49;759;24/06/2012
JAPAN AIRLINES;FOREIGN;4034;4709;4036;2324;01/07/2014
KALITTA AIR;FOREIGN;0;0;13403;11093;31/01/2012
KAM AIR;FOREIGN;4360;3896;0;1648;15/07/2011
KENYA AIRWAYS;FOREIGN;7346;10139;111;2001;25/01/2011
KLM AIRLINES;FOREIGN;11749;12354;1642;3121;15/12/2013
KOREAN AIR;FOREIGN;2224;2633;648;656;15/10/2015
KUWAIT AIRWAYS;FOREIGN;17462;19936;1013;7112;22/05/2015
LUFTHANSA;FOREIGN;48577;53258;28362;28740;27/03/2016
MAHAN AIR;FOREIGN;1348;1701;62;382;01/03/2017
MALAYSIA AIRLINES;FOREIGN;34778;37166;9214;8582;01/05/2017
MALINDO AIRWAYS;FOREIGN;27912;30575;66;1017;21/12/2017
MIHIN LANKA;FOREIGN;10087;10810;219;250;05/07/2016
MYANMAR AIRLINES;FOREIGN;1068;1091;0;0;20/01/2016
NEPAL AIRLINES CORPORATION;FOREIGN;3450;3512;0;417;05/02/2017
OMAN AIR;FOREIGN;72192;83740;1787;19393;30/09/2011
PAK INTERNATIONAL;FOREIGN;990;2397;25;155;28/09/2011
QATAR AIRWAYS;FOREIGN;88533;98151;35889;67583;17/11/2016
REGENT AIRWAYS;FOREIGN;6265;6546;0;0;27/11/2012
SAFI AIRWAYS;FOREIGN;2881;2209;59;618;07/11/2012
SAUDIA;FOREIGN;66285;72411;1284;23353;16/05/2016
SCAT AIRLINES;FOREIGN;924;855;0;0;25/06/2016
SHANDONG AIRLINES;FOREIGN;1420;910;0;0;23/01/2016
SILK AIR;FOREIGN;18335;27700;1072;1777;25/02/2018
SINGAPORE AIRLINES;FOREIGN;53202;60684;35695;31552;31/03/2010
SRILNKAN AIRWAYS;FOREIGN;55999;56324;6541;12444;14/09/2014
SWISS AIR;FOREIGN;11864;13640;7513;9591;03/11/2017
TAJIK AIR;FOREIGN;437;316;0;45;06/04/2010
THAI AIR ASIA;FOREIGN;6189;6142;559;517;11/11/2016
THAI AIRWAYS;FOREIGN;58733;61687;23654;15079;10/06/2016
THOMAS COOK AIRLINES U.K.;FOREIGN;4837;4650;1;182;28/06/2012
TIGER AIRWAYS;FOREIGN;30866;30536;1048;2443;09/06/2016
TRANSAERO AIRLINES;FOREIGN;0;0;0;0;28/09/2010
TURKISH AIRLINES;FOREIGN;17432;17892;7255;8770;19/04/2013
TURKMENISTAN AIRLINES;FOREIGN;3407;4688;0;145;30/06/2013
UNITED AIRLINES;FOREIGN;13911;14300;1955;2855;08/09/2011
UNITED AIRLINES BANGLADESH LTD.;FOREIGN;575;1727;0;0;11/02/2017
UNITED PARCEL SERVICES;FOREIGN;0;0;5661;3343;20/01/2017
UZBEKISTAN AIRWAYS;FOREIGN;3428;3962;2742;5510;03/02/2014
VIRGIN ATLANTIC AIRLINES;FOREIGN;5753;7075;2569;3904;10/11/2016
YEMENIA AIRWAYS;FOREIGN;59;217;0;33;19/08/2016
AIR INDIA;DOMESTIC;222709;235431;36940;50530;26/05/2014
AIR INDIA EXPRESS;DOMESTIC;89688;110442;184;3691;03/10/2014
INDIGO;DOMESTIC;63752;71028;259;8607;22/08/2017
JET AIRWAYS;DOMESTIC;257058;292735;33862;52370;06/02/2012
SPICEJET;DOMESTIC;60194;66200;533;3493;02/02/2014
AEROFLOT;FOREIGN;5266;5746;2143;228;19/01/2012
AEROLOGIC;FOREIGN;0;0;31;35;13/03/2014
AIR ARABIA;FOREIGN;70573;73935;754;10787;10/07/2016
AIR ASIA X;FOREIGN;0;0;0;0;05/12/2016
AIR ASIA BERHAD;FOREIGN;30677;31080;584;2306;06/04/2013
AIR ASTANA;FOREIGN;2059;2313;24;203;30/08/2012
AIR AUSTRAL;FOREIGN;253;265;21;27;25/12/2017
AIR CANADA;FOREIGN;4794;4832;1200;1402;17/09/2017
AIR CHINA;FOREIGN;3266;3838;999;2804;28/07/2016
AIR FRANCE;FOREIGN;20932;19921;10601;9914;14/03/2014
AIR MANAS;FOREIGN;0;0;0;0;02/03/2016
AIR MAURITIUS;FOREIGN;7477;7863;191;1888;26/10/2013
AIR SEYCHELLES;FOREIGN;2107;2196;0;22;17/01/2013
ALL NIPPON AIRWAYS;FOREIGN;5166;5597;1090;4221;28/09/2015
ARIANA AFGHAN;FOREIGN;2288;2414;289;1049;12/06/2016
ASIANA AIRLINES;FOREIGN;2805;2855;252;865;30/08/2016
AUSTRIAN AIRLINES;FOREIGN;3552;3743;1429;1640;24/08/2014
BANGKOK AIRWAYS;FOREIGN;3707;3803;2;471;13/06/2016
BHUTAN AIRLINES;FOREIGN;1382;1382;0;6;17/01/2018
BIMAN BANGLADESH;FOREIGN;5493;6092;0;0;24/06/2013
BRITISH AIRWAYS;FOREIGN;41295;44654;13290;25130;09/05/2017
BUDHHA AIR;FOREIGN;45;37;0;0;29/05/2011
CATHAY PACIFIC;FOREIGN;25008;28615;44098;42090;15/04/2013
CHINA AIRLINES LTD;FOREIGN;1654;4847;645;1109;28/07/2011
CHINA EASTERN AIRLINES;FOREIGN;7201;7801;1471;1428;05/05/2011
CHINA SOUTHERN ;FOREIGN;5732;6113;1105;358;02/05/2010
DRAGON AIR;FOREIGN;7155;8261;36;174;26/05/2014
DRUK AIR;FOREIGN;4667;4185;3;41;27/01/2013
EGYPT AIR;FOREIGN;906;1246;8;41;28/01/2014
EL-AL-ISRAEL;FOREIGN;3155;3321;667;1527;24/04/2016
EMIRATES AIRLINE;FOREIGN;208964;234513;47338;121254;28/04/2013
ETHIOPIAN AIRLINES;FOREIGN;3081;3143;3025;369;06/09/2017
ETIHAD AIRLINES;FOREIGN;89334;88432;6716;14542;29/02/2016
EVA AIRWAYS;FOREIGN;0;0;0;0;10/02/2012
FEDERAL EXPRESS;FOREIGN;0;0;9020;17754;19/03/2011
