AIRLINE NAME;CARRIER TYPE;PASSENGERS TO INDIA;PASSENGERS FROM INDIA;FREIGHT TO INDIA;FREIGHT FROM INDIA;DAY
ETIHAD AIRLINES;FOREIGN;66085;82292;1169219;1407467;03/12/2011
EVA AIRWAYS;FOREIGN;0;0;0;0;20/07/2017
FEDERAL EXPRESS;FOREIGN;0;0;108089;2471127;06/07/2015
FINN AIR;FOREIGN;4303;5676;283644;392741;03/09/2014
FLY DUBAI;FOREIGN;14234;18046;13701;23131;30/01/2017
GULF AIR;FOREIGN;30895;35735;242025;699251;17/06/2016
IRAN AIR;FOREIGN;1765;1445;122;36314;20/06/2013
IRAQI AIRWAYS;FOREIGN;0;0;0;0;15/05/2017
ISLAND AVIATION SERVICES;FOREIGN;3383;3247;4874;76123;20/09/2017
JAPAN AIRLINES;FOREIGN;4207;5226;400434;291726;01/10/2012
KALITTA AIR;FOREIGN;0;0;885675;879534;02/02/2012
KAM AIR;FOREIGN;3800;4100;0;93233;10/12/2015
KENYA AIRWAYS;FOREIGN;11424;13687;45716;734316;05/12/2017
KLM AIRLINES;FOREIGN;8297;11727;175199;339276;29/01/2015
KOREAN AIR;FOREIGN;0;0;0;0;17/05/2016
KUWAIT AIRWAYS;FOREIGN;16721;18973;608185;84583;08/08/2011
LUFTHANSA;FOREIGN;43851;52505;3902026;3188211;19/10/2013
MAHAN AIR;FOREIGN;2372;1688;5466;147737;14/02/2016
MALAYSIA AIRLINES;FOREIGN;39373;43343;125262;1647574;12/12/2017
MALINDO AIRWAYS;FOREIGN;16680;16715;0;0;10/01/2011
MARTIN AIR HOLLAND;FOREIGN;0;0;756506;80198;04/08/2011
MIHIN LANKA;FOREIGN;3681;3496;0;0;02/07/2013
MYANMAR AIRLINES;FOREIGN;1252;1787;0;0;13/01/2017
NEPAL AIRLINES CORPORATION;FOREIGN;2399;2126;633;0;21/06/2013
OMAN AIR;FOREIGN;51845;56903;85761;1025961;01/03/2018
PAK INTERNATIONAL;FOREIGN;1084;2311;10291;34249;06/12/2014
QATAR AIRWATYS;FOREIGN;68041;85271;3596081;6196259;12/10/2017
REGENT AIRWAYS;FOREIGN;3005;3060;0;0;12/02/2014
SAFI AIRWAYS;FOREIGN;2398;2792;1;17377;22/07/2012
SAUDIA;FOREIGN;52759;64558;205839;2928968;01/02/2012
SILK AIR;FOREIGN;12187;15830;40251;177265;16/07/2011
SINGAPORE AIRLINES;FOREIGN;45865;56314;2497576;2527712;29/08/2015
SOUTHA AFRICAN AIRLINES;FOREIGN;1898;2869;13966;181652;23/11/2014
SRILNKAN AIRWAYS;FOREIGN;46870;52470;789972;1694398;17/04/2012
SWISS AIR;FOREIGN;9990;13564;817087;1140143;07/03/2013
TAJIK AIR;FOREIGN;165;139;0;6468;20/10/2017
THAI AIRWAYS;FOREIGN;49456;57914;1625223;2058684;13/06/2015
TIGER AIRWAYS;FOREIGN;23321;22723;78239;253852;01/04/2014
TRANSAERO AIRLINES;FOREIGN;4601;6934;0;47641;08/02/2017
TURKISH AIRLINES;FOREIGN;15222;18362;616744;1168727;05/09/2017
TURKMENISTAN AIRLINES;FOREIGN;5244;5051;0;862;11/10/2012
UNITED AIRLINES;FOREIGN;13492;15588;203701;257904;03/01/2018
